date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g_today,trade_cash,trade_shares
2025-02-13,49321.59713985463,1497.2070701862779,240.4818878173828,409372.7798317835,0,1,0,1,0.2,-12330.399284963658,51.27371294725996
2025-02-14,49322.09035582603,1497.2070701862779,243.53855895996094,413949.74269365723,1,0,-1,0,0.2,0.0,0.0
2025-02-18,39458.066861383675,1537.7335581418718,243.40911865234375,413756.43697082927,1,0,0,1,0.2,-9864.516715345919,40.52648795559383
2025-02-19,39458.46144205229,1537.7335581418718,243.807373046875,414369.24069864606,1,0,-1,0,0.2,0.0,0.0
2025-02-20,19729.428013333356,1618.3397344213145,244.7632293701172,415839.4876282721,1,0,1,1,0.5,-19729.428013333356,80.60617627944279
2025-02-21,15783.700246090792,1634.4795146278357,244.48443603515625,415388.50259089307,1,0,0,1,0.2,-3945.925061522698,16.139780206521138
2025-02-24,12627.086466474602,1647.310474266975,246.0277099609375,417911.1100450443,1,0,0,1,0.2,-3156.771616618651,12.830959639139268
2025-02-25,10101.770189871415,1657.5778382885428,245.96795654296875,417812.80388461583,1,0,0,1,0.2,-2525.4425474678537,10.267364021567898
2025-02-26,8081.496966058652,1666.0200911023182,239.31695556640625,406788.3530811323,1,1,-1,1,0.2,-2020.374241514663,8.442252813775431
2025-02-27,4040.7888905141567,1683.1224947211242,236.27023315429688,401712.533145516,1,1,1,1,0.5,-4040.7888905141567,17.102403618805884
2025-02-28,2020.4146492015311,1691.513251083052,240.79052734375,409320.78238643066,1,1,0,1,0.5,-2020.4146492015311,8.390756361927846
2025-03-03,1616.3478826784187,1693.2182804749207,236.9970703125,402904.11975480354,0,1,0,1,0.2,-404.0869706696047,1.7050293918687813
2025-03-04,808.1820230786228,1696.658726548892,234.9061737060547,399363.7915616662,0,1,1,1,0.5,-808.1820230786228,3.4404460739713287
2025-03-05,80455.12293109468,1357.3269812391136,234.71701049804688,399042.854235878,0,0,-1,-1,0.2,79646.93282619583,-339.3317453097784
2025-03-06,64364.7419858592,1426.002105852526,234.3087921142578,398489.5729605526,0,0,1,1,0.2,-16091.185496464801,68.67512461341242
2025-03-07,51492.308506623245,1480.0832660293368,238.03256225585938,403800.32067160704,0,0,1,1,0.2,-12873.077126655813,54.081160176810776
2025-03-10,41194.25874376665,1525.5529794250483,226.4928436279297,386721.09115880635,-1,1,1,1,0.2,-10298.564685941665,45.4697133957115
2025-03-11,32955.736549083274,1563.022836646672,219.88165283203125,376635.7812851635,-1,1,1,1,0.2,-8238.934137270819,37.4698572216236
2025-03-12,26364.852885159013,1593.5322857138015,216.03842163085938,370629.05270858435,-1,1,1,1,0.2,-6591.213221289753,30.509449067129506
2025-03-13,21092.093226950292,1618.789847968084,208.77008056640625,359046.9802073277,-1,1,1,1,0.2,-5273.023306737574,25.257562254282476
2025-03-14,89911.44843029074,1295.0318783744672,212.5635528564453,365188.02555992344,-1,1,-1,-1,0.2,68819.14428240818,-323.7579695936168
