date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2023-11-08,7782.649788207897,1965.4538517074616,180.7714385986328,363080.57006058964,1,0,0,1,0.5,-7782.649788207897,43.05243045328488
2023-11-09,7782.727614705779,1965.4538517074616,180.29696655273438,362148.0949769489,1,0,-1,0,0.5,0.0,0.0
2023-11-10,3891.402720990963,1986.547352926443,184.48348999023438,370376.591419723,1,1,1,1,0.5,-3891.402720990963,21.093501218981462
2023-11-13,1945.7208175090866,1997.1855233442457,182.8999481201172,367230.84942342073,1,1,-1,1,0.5,-1945.7208175090866,10.63817041780274
2023-11-14,972.8701373586309,2002.4297439381849,185.5128173828125,372449.2535464751,1,0,0,1,0.5,-972.8701373586309,5.24422059393922
2023-11-15,486.4399330300023,2005.0439308798695,186.0769500732422,373578.8993540207,1,0,0,1,0.5,-486.4399330300023,2.61418694168479
2023-11-16,243.22239871466633,2006.339324454887,187.75946044921875,376952.4114364143,1,0,1,1,0.5,-243.22239871466633,1.2953935750174785
2023-11-17,121.61241546932675,2006.987095997252,187.7396697998047,376912.7071104623,1,0,0,1,0.5,-121.61241546932675,0.6477715423650611
2023-11-20,60.80681579674072,2007.3080074808327,189.48158264160156,380408.70492242475,1,0,1,1,0.5,-60.80681579674072,0.32091148358072824
2023-11-21,30.403711932449347,2007.4691465939627,188.67990112304688,378799.4837988486,1,0,0,1,0.5,-30.403711932449347,0.16113911313013507
2023-11-22,15.202007984784338,2007.549434782982,189.343017578125,380130.66992705385,1,0,1,1,0.5,-15.202007984784338,0.08028818901923238
2023-11-24,7.601080002432093,2007.5898624469216,188.0167999267578,377468.22258267255,1,0,1,1,0.5,-7.601080002432093,0.04042766393956872
2023-11-27,3.800578006616059,2007.6100956553266,187.838623046875,377110.5165609082,1,0,0,1,0.5,-3.800578006616059,0.020233208405002135
