Date,price,macd,signal,cross_signal
2005-01-20,2.118000030517578,0.039309688765966744,0.0411560219250948,-1.0
2005-02-28,1.7589999437332153,-0.07763902358876895,-0.07836711316340988,1.0
2005-03-22,1.6575000286102295,-0.04870596104062663,-0.04791568062647237,-1.0
2005-03-29,1.6714999675750732,-0.04757915290285242,-0.048681565880666536,1.0
2005-04-18,1.649999976158142,-0.019262643797621326,-0.01688566013301844,-1.0
2005-05-03,1.6605000495910645,-0.024516226762457682,-0.025387002911416826,1.0
2005-06-07,1.7675000429153442,0.023270482210372645,0.023610548611226575,-1.0
2005-07-11,1.7795000076293945,-0.007988153387681773,-0.011440275481025509,1.0
2005-08-12,2.2100000381469727,0.1155221317075017,0.12186908889779968,-1.0
2005-09-28,2.1684999465942383,0.0017456810992206861,0.0012524037308866954,1.0
2005-10-11,2.1700000762939453,0.01631281646155447,0.018925868504583897,-1.0
2005-10-18,2.2325000762939453,0.013561287538262246,0.012658311190481275,1.0
2005-10-26,1.9874999523162842,0.012282058460894696,0.02184447276319599,-1.0
2005-11-10,2.1089999675750732,-0.02941167316218163,-0.030435850331193053,1.0
2005-12-09,2.437000036239624,0.0699367816298806,0.07246110810095666,-1.0
2006-01-30,2.247999906539917,-0.03966996405123435,-0.042281816438535895,1.0
2006-02-02,2.13700008392334,-0.04217473506732583,-0.04072776607919096,-1.0
2006-02-17,1.9594999551773071,-0.09223456452437606,-0.09490803931410052,1.0
2006-04-25,1.777500033378601,-0.015872441234789036,-0.014872529829325846,-1.0
2006-05-22,1.7415000200271606,-0.0357381796428442,-0.03992742715502606,1.0
2006-06-08,1.6775000095367432,-0.013271750384667325,-0.011842459915204153,-1.0
2006-06-15,1.7480000257492065,-0.009777641597962905,-0.012847214611222839,1.0
2006-07-10,1.7894999980926514,0.02956435292580384,0.034472379298415554,-1.0
2006-08-14,1.3265000581741333,-0.10575145714887824,-0.10703311872784863,1.0
2006-09-22,1.5420000553131104,0.024687440324288046,0.026696098573089196,-1.0
2006-09-26,1.625,0.028505067293149722,0.02685090839634598,1.0
2006-10-02,1.5434999465942383,0.023207244203418798,0.026965241123311008,-1.0
2006-10-05,1.6660000085830688,0.02937821114282335,0.026506965756761786,1.0
2006-10-16,1.6299999952316284,0.03084309300871424,0.03085890690805725,-1.0
2006-10-25,1.8839999437332153,0.04034216457498285,0.027642586894857553,1.0
2006-11-27,2.0425000190734863,0.09809796675552018,0.10345615221374832,-1.0
2006-12-27,2.0144999027252197,0.012064512179809972,0.010572070664021715,1.0
2006-12-29,1.9730000495910645,0.010743246999864065,0.01100830976992726,-1.0
2007-01-31,1.8834999799728394,-0.02377919392416561,-0.026061631656067993,1.0
2007-02-28,1.9570000171661377,0.025515507752046362,0.028060042976808988,-1.0
2007-03-21,1.9900000095367432,-0.004168634792999004,-0.007142116404398282,1.0
2007-05-11,3.078000068664551,0.25706551902404584,0.25824725898011364,-1.0
2007-05-22,3.444000005722046,0.23232373512817572,0.23163790018416985,1.0
2007-05-30,3.493000030517578,0.23345288140528853,0.23491371246180198,-1.0
2007-07-12,3.6394999027252197,0.04813103130371532,0.046141576055391605,1.0
2007-07-23,3.5869998931884766,0.0594648600324299,0.06311779566847792,-1.0
2007-07-25,4.309000015258789,0.09845045590535895,0.06708405244098539,1.0
2007-08-03,3.8399999141693115,0.12698723066152207,0.12807110800810265,-1.0
2007-08-24,3.9625000953674316,0.036292754580403486,0.030413252179094255,1.0
2007-10-03,4.623000144958496,0.16980252553302488,0.17568303763059898,-1.0
2007-11-26,4.065000057220459,-0.11948786446831594,-0.12628904277352784,1.0
2007-12-17,4.254499912261963,0.05969779788466667,0.07459225146007659,-1.0
2007-12-26,4.642499923706055,0.05630487363292058,0.05521400697109603,1.0
