Date,S_J_exact,S_J_normalized,S_J_return,rolling_sharpe_60d,portfolio_return_aux,portfolio_wealth_aux,weight_risky_t,weight_risky_prevday
2000-05-31,10.673791416737053,0.9047857043956679,0.0011420872279042924,0.06914579261135155,-0.022536574689687713,0.8537683453977495,0.20859274798868885,0.2223941986987389
2000-06-01,10.275565435597793,0.8710292667076728,-0.038022547377839506,0.09241786733863598,0.0060868104044159285,0.8589809193265984,0.24680123568620446,0.20859274798868885
2000-06-02,10.486421050008257,0.8889028730169549,0.020312397786360945,0.15169642971979075,0.02538619908940279,0.8810663261434484,0.2221458794679216,0.24680123568620446
2000-06-05,10.414759187158836,0.8828283090194939,-0.006857234169652374,0.20937640532845037,-0.021716798334303088,0.8621386545154246,0.21487965580276921,0.2221458794679216
2000-06-06,10.398128522282954,0.8814185767840768,-0.001598112539457614,0.24432584923573367,-0.0189501352467471,0.845954837479836,0.20873480834633257,0.21487965580276921
2000-06-07,10.587327956785712,0.8974564528240201,0.018031970017966113,0.6749625894463177,0.023028611651232076,0.8656620468274656,0.2136589486720502,0.20873480834633257
2000-06-08,10.591093856030115,0.8977756769560551,0.00035563549705259513,0.7628465770593355,-0.002529298227411628,0.863475295985186,0.2098455707138955,0.2136589486720502
2000-06-09,10.513697320688877,0.8912150017458669,-0.007334531922858915,0.6021064636654684,-0.006256103438679459,0.8580901677403803,0.2083991372018075,0.2098455707138955
2000-06-12,10.643858619707371,0.902248389791359,0.012304156633111995,0.3865054714488278,-0.010825281440133038,0.848851197622988,0.19769670549571294,0.2083991372018075
2000-06-13,10.85861127078002,0.9204523363634199,0.019975360311013306,1.113932674683623,0.016231820877456303,0.8627420299799607,0.19473630642769785,0.19769670549571294
2000-06-14,10.747415481674967,0.9110265984561297,-0.010293125351451987,1.1457524367871894,-0.016137398169053914,0.8489313522362465,0.19600615414921768,0.19473630642769785
2000-06-15,11.33060686908831,0.9604620061436797,0.05284233127302572,0.9597329058077678,0.041942629597281074,0.8852950288963264,0.19367090835587705,0.19600615414921768
2000-06-16,11.245088154142048,0.9532128378097046,-0.007576211843326585,1.647121228275978,-0.006740616539184746,0.8793476615624517,0.19452316166005282,0.19367090835587705
2000-06-19,11.13649276656628,0.944007528242966,-0.009704072304149143,1.6101264799037238,-0.01849954607166785,0.8632296763624476,0.1848923865725223,0.19452316166005282
2000-06-20,10.821831523545335,0.9173346260569352,-0.02866182134417783,1.2403061792870724,-0.019488696561272358,0.8465693266963897,0.18745539103531084,0.1848923865725223
2000-06-21,11.007235323884796,0.9330507574237831,0.01698728214788938,1.6758085797196511,0.0083343491176161,0.8536544148046381,0.18033703580052116,0.18745539103531084
2000-06-22,11.443501261338577,0.9700317296117915,0.03886918015136472,2.008236251942733,0.02261058999473088,0.8731759093580248,0.18442135850928504,0.18033703580052116
2000-06-23,11.901872110340918,1.008886469722106,0.03927371450127796,2.1272747145033812,-0.014607450728137284,0.8605137414332511,0.16907333256776813,0.18442135850928504
2000-06-26,12.168739334713031,1.0315080144156832,0.022174605748461643,2.1419873667628253,0.016308756063063073,0.8746627125854538,0.16584330420502624,0.16907333256776813
2000-06-27,11.937542426851326,1.0119101368699648,-0.01918205380681716,2.28813287905697,-0.0039872731741509605,0.8711821370291868,0.16796427678587217,0.16584330420502624
2000-06-28,12.803417312388921,1.0853077879615152,0.07002385294147755,2.6927970587098407,0.036863857259187796,0.9038965561423224,0.13482797241683442,0.16796427678587217
2000-06-29,12.622635845835237,1.0699834781477622,-0.014220414933489686,2.368676326864457,-0.016997730386684676,0.8886622076518588,0.13241156070142546,0.13482797241683442
2000-06-30,12.253645906836528,1.0387052932144913,-0.029668180133240032,4.495629767752578,-0.02713474625191267,0.8648728035152096,0.13432602208595673,0.13241156070142546
2000-07-03,12.43987169678414,1.0544911022073653,0.015083255737446101,4.982609671826535,0.013750002855872157,0.8768469405884788,0.13229497760327144,0.13432602208595673
2000-07-05,12.557256016782906,1.0644414235607085,0.00939189367613122,4.797438169691638,0.0065477909947419454,0.8826071889608563,0.13206834221757613,0.13229497760327144
2000-07-06,12.414589100918931,1.052347971391357,-0.011426345744222135,4.981207651230175,0.0011728800909652404,0.8836429886766224,0.14647280166484028,0.13206834221757613
2000-07-07,12.365152811917646,1.0481574035021815,-0.003990062105012383,4.795217063879337,-0.0024659313568025183,0.881466670151489,0.14738050170933623,0.14647280166484028
2000-07-10,12.059799511715457,1.0222735080777534,-0.025004692396420676,4.040740056440527,-0.02181006809698459,0.8624499538047016,0.15174011794339384,0.14738050170933623
2000-07-11,11.813888673654716,1.0014283742217152,-0.020601721340251834,3.466814313348112,-0.02913371300412102,0.8376860678948028,0.14750133165767912,0.15174011794339384
2000-07-12,11.800567338214094,1.0002991640470404,-0.0011282357592320128,3.5202308960334117,0.007435348813788544,0.8439377689934506,0.14874979017326956,0.14750133165767912
