date,signal_source_date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2023-01-12,2023-01-11,79497.03210577491,459.337423615734,95.2699966430664,123258.10691168066,0,-1,-1,-1,0.5,43761.07480590575,-459.337423615734
2023-01-13,2023-01-12,79497.82707609597,459.337423615734,98.12000274658203,124568.01634287971,0,0,0,0,0.5,0.0,0.0
2023-01-17,2023-01-13,39749.31102718337,873.1771921138561,96.05000305175781,123617.98299444457,1,1,-1,1,0.5,-39749.31102718337,413.83976849812206
2023-01-18,2023-01-17,19874.85426014682,1081.3780558343715,95.45999908447266,123103.20248006475,1,1,-1,1,0.5,-19874.85426014682,208.20086372051546
2023-01-19,2023-01-18,9937.526504344713,1187.4575442200655,93.68000030517578,121178.54960926373,1,0,0,1,0.5,-9937.526504344713,106.07948838569408
2023-01-20,2023-01-19,4968.812939804879,1238.5507364031491,97.25,125417.87205501113,1,1,-1,1,0.5,-4968.812939804879,51.09319218308359
2023-01-23,2023-01-20,4968.862627934277,1238.5507364031491,97.5199966430664,125752.3262842368,1,-1,0,0,0.5,0.0,0.0
2023-01-24,2023-01-23,2484.4561582802785,1264.3445088922679,96.31999969482422,124266.1188689362,1,0,1,1,0.5,-2484.4561582802785,25.793772489118698
2023-01-25,2023-01-24,1242.2405014209307,1277.1273911470519,97.18000030517578,125353.48076283978,1,1,-1,1,0.5,-1242.2405014209307,12.782882254783955
2023-01-26,2023-01-25,1242.2529238259451,1277.1273911470519,99.22000122070312,127958.83423242983,1,0,-1,0,0.5,0.0,0.0
2023-01-27,2023-01-26,621.1326731775918,1283.2026326000616,102.23999786376953,131815.76708899136,1,0,0,1,0.5,-621.1326731775918,6.07524145300966
2023-01-30,2023-01-27,310.56944225216176,1286.2913390428878,100.55000305175781,129647.16750846418,1,1,1,1,0.5,-310.56944225216176,3.088706442826233
2023-01-31,2023-01-30,155.28627397329214,1287.7970723708129,103.12999725341797,132965.79481053492,1,1,-1,1,0.5,-155.28627397329214,1.5057333279250678
2023-02-01,2023-01-31,77.64391341801594,1288.5354833293607,105.1500015258789,135567.1519516494,1,1,-1,1,0.5,-77.64391341801594,0.738410958547696
2023-02-02,2023-02-01,77.64468985715013,1288.5354833293607,112.91000366210938,145566.19083133314,1,0,-1,0,0.5,0.0,0.0
2023-02-03,2023-02-02,66688.48688378553,644.2677416646803,103.38999938964844,133299.328301267,1,-1,-1,-1,0.5,66610.84141748148,-644.2677416646803
2023-02-06,2023-02-03,99604.79278861036,322.13387083234016,102.18000030517578,132520.43180856633,1,-1,-1,-1,0.5,32915.639019955976,-322.13387083234016
2023-02-07,2023-02-06,49802.89441826913,809.8715470695126,102.11000061035156,132498.8785838434,1,0,1,1,0.5,-49802.89441826913,487.7376762371724
2023-02-08,2023-02-07,24901.696223606657,1058.7640554557895,100.05000305175781,130831.04320304988,1,0,1,1,0.5,-24901.696223606657,248.89250838627686
2023-02-09,2023-02-08,24901.945240568893,1058.7640554557895,98.23999786376953,128914.92378678163,0,1,-1,0,0.5,0.0,0.0
2023-02-10,2023-02-09,12451.09713001065,1186.323701518226,97.61000061035156,128248.15435927921,0,1,1,1,0.5,-12451.09713001065,127.55964606243644
2023-02-13,2023-02-10,6225.610820490976,1248.8675106726405,99.54000091552734,130537.88397621797,0,0,1,1,0.5,-6225.610820490976,62.54380915441439
2023-02-14,2023-02-13,3112.8365382995908,1280.0895431057565,99.69999694824219,130737.76007942026,0,0,1,1,0.5,-3112.8365382995908,31.22203243311607
2023-02-15,2023-02-14,67859.7991008681,640.0447715528783,101.16000366210938,132606.73053507123,0,0,-1,-1,0.5,64746.93143420312,-640.0447715528783
2023-02-16,2023-02-15,99270.67535113203,320.02238577643914,98.1500015258789,130680.87300340494,0,0,-1,-1,0.5,31410.19765227291,-320.02238577643914
2023-02-17,2023-02-16,49635.83402894277,830.6791305021951,97.19999694824219,130377.84297872461,0,1,1,1,0.5,-49635.83402894277,510.65674472575597
