date,signal_source_date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g_today,g_reason,trade_cash,trade_shares
2025-06-23,2025-06-20,0.12200819772938007,1322.5226921785377,208.47000122070312,275706.42926106503,0,1,1,1,0.5,buy_use_aggressive_g,-0.12200819772938007,0.0005852554181175083
2025-06-24,2025-06-23,0.06100470890567868,1322.522978895216,212.77000427246094,281393.2808746718,0,0,1,1,0.5,buy_use_aggressive_g,-0.06100470890567868,0.00028671667848236535
2025-06-25,2025-06-24,0.03050265947638387,1322.5231227824686,211.99000549316406,280361.7145661515,0,0,1,1,0.5,buy_use_aggressive_g,-0.03050265947638387,0.00014388725263449968
2025-06-26,2025-06-25,57429.27329514394,1058.0184982259748,217.1199951171875,287146.2444638616,0,0,-1,-1,0.2,sell_use_conservative_g,57429.24279217944,-264.50462455649375
2025-06-27,2025-06-26,57429.847587876895,1058.0184982259748,223.3000030517578,293685.3814705533,0,1,-1,0,0.0,hold_no_trade,0.0,0.0
2025-06-30,2025-06-27,28715.21094317639,1188.905097537991,219.38999938964844,289549.09956638614,1,1,0,1,0.5,buy_use_aggressive_g,-28715.21094317639,130.8865993120162
2025-07-01,2025-06-30,14357.749047642912,1254.0314180060734,220.4600067138672,290821.5238806623,1,1,-1,1,0.5,buy_use_aggressive_g,-14357.749047642912,65.1263204680824
2025-07-02,2025-07-01,7178.946312566694,1286.6748627693448,219.9199981689453,290144.47977682896,1,0,1,1,0.5,buy_use_aggressive_g,-7178.946312566694,32.64344476327131
2025-07-03,2025-07-02,3589.5090510149103,1302.741775585137,223.41000366210938,294635.0539052732,1,0,0,1,0.5,buy_use_aggressive_g,-3589.5090510149103,16.066912815792122
2025-07-07,2025-07-03,1794.7724730527102,1310.7731554716936,223.47000122070312,294713.25112637697,1,0,0,1,0.5,buy_use_aggressive_g,-1794.7724730527102,8.031379886556493
2025-07-08,2025-07-07,897.3952103887204,1314.8641256024914,219.36000061035156,289325.9906050806,1,0,0,1,0.5,buy_use_aggressive_g,-897.3952103887204,4.090970130797731
2025-07-09,2025-07-08,448.7020921704122,1316.8804018032079,222.5399932861328,293507.2578680962,1,1,0,1,0.5,buy_use_aggressive_g,-448.7020921704122,2.016276200716378
2025-07-10,2025-07-09,448.7065791913339,1316.8804018032079,222.25999450683594,293138.5374501322,1,0,-1,0,0.0,hold_no_trade,0.0,0.0
2025-07-11,2025-07-10,224.3555331285629,1317.8774488606637,225.02000427246094,296773.144706335,1,0,1,1,0.5,buy_use_aggressive_g,-224.3555331285629,0.9970470574558631
2025-07-14,2025-07-11,112.1788883419471,1318.3744974101273,225.69000244140625,297656.12242752133,1,0,0,1,0.5,buy_use_aggressive_g,-112.1788883419471,0.49704854946364335
2025-07-15,2025-07-14,56.09000506541526,1318.6222995022545,226.35000610351562,298526.25554563256,1,0,1,1,0.5,buy_use_aggressive_g,-56.09000506541526,0.2478020921270215
2025-07-16,2025-07-15,28.04528298273296,1318.747956040074,223.19000244140625,294359.4048111664,1,0,0,1,0.5,buy_use_aggressive_g,-28.04528298273296,0.12565653781959005
2025-07-17,2025-07-16,14.022781717781395,1318.810591297408,223.8800048828125,295269.34440088633,0,1,0,1,0.5,buy_use_aggressive_g,-14.022781717781395,0.06263525733404135
2025-07-18,2025-07-17,14.022921945598574,1318.810591297408,226.1300048828125,298236.66837153333,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-07-21,2025-07-18,14.023062174818032,1318.810591297408,229.3000030517578,302417.295671361,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-07-22,2025-07-21,7.01160120271989,1318.8414155870512,227.47000122070312,300003.8700147031,1,0,0,1,0.5,buy_use_aggressive_g,-7.01160120271989,0.030824289642997247
2025-07-23,2025-07-22,3.505835659365959,1318.856772526744,228.2899932861328,301085.30958116055,0,0,1,1,0.5,buy_use_aggressive_g,-3.505835659365959,0.01535693969280482
2025-07-24,2025-07-23,3.5058707177225528,1318.856772526744,232.22999572753906,306281.6085198394,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-07-25,2025-07-24,1.752952888214865,1318.8643466404224,231.44000244140625,305239.7205592312,1,0,1,1,0.5,buy_use_aggressive_g,-1.752952888214865,0.007574113678376152
2025-07-28,2025-07-25,0.8764852088718736,1318.8681117730919,232.7899932861328,307020.1753701616,1,0,0,1,0.5,buy_use_aggressive_g,-0.8764852088718736,0.003765132669575473
2025-07-29,2025-07-28,0.4382469868619812,1318.870008864115,231.00999450683594,304672.5917499168,1,0,0,1,0.5,buy_use_aggressive_g,-0.4382469868619812,0.0018970910232587916
2025-07-30,2025-07-29,0.21912568466592494,1318.870960798093,230.19000244140625,303591.1288116975,1,0,0,1,0.5,buy_use_aggressive_g,-0.21912568466592494,0.000951933977765617
