antecedent,consequent,support,confidence,lambda,utility
DHUHU,H,0.0008074283407347598,0.4,0.0,0.0008074283407347598
DHUHH,D,0.0010092854259184498,0.2631578947368421,0.0,0.0010092854259184498
DHUHH,U,0.0010092854259184498,0.2631578947368421,0.0,0.0010092854259184498
DHUHH,H,0.0018167137666532096,0.47368421052631576,0.0,0.0018167137666532096
DHHDD,D,0.0008074283407347598,0.23529411764705882,0.0,0.0008074283407347598
DHHDD,U,0.0016148566814695195,0.47058823529411764,0.0,0.0016148566814695195
DHHDD,H,0.0010092854259184498,0.29411764705882354,0.0,0.0010092854259184498
DHHDU,D,0.0008074283407347598,0.21052631578947367,0.0,0.0008074283407347598
DHHDU,U,0.0014129995962858296,0.3684210526315789,0.0,0.0014129995962858296
DHHDU,H,0.0016148566814695195,0.42105263157894735,0.0,0.0016148566814695195
DHHDH,D,0.0006055712555510698,0.21428571428571427,0.0,0.0006055712555510698
DHHDH,U,0.0014129995962858296,0.5,0.0,0.0014129995962858296
DHHDH,H,0.0008074283407347598,0.2857142857142857,0.0,0.0008074283407347598
DHHUD,D,0.0004037141703673799,0.2222222222222222,0.0,0.0004037141703673799
DHHUD,U,0.0,0.0,0.0,0.0
DHHUD,H,0.0014129995962858296,0.7777777777777778,0.0,0.0014129995962858296
DHHUU,D,0.0014129995962858296,0.3888888888888889,0.0,0.0014129995962858296
DHHUU,U,0.0014129995962858296,0.3888888888888889,0.0,0.0014129995962858296
DHHUU,H,0.0008074283407347598,0.2222222222222222,0.0,0.0008074283407347598
DHHUH,D,0.0008074283407347598,0.16666666666666666,0.0,0.0008074283407347598
DHHUH,U,0.0014129995962858296,0.2916666666666667,0.0,0.0014129995962858296
DHHUH,H,0.0026241421073879695,0.5416666666666666,0.0,0.0026241421073879695
DHHHD,D,0.0008074283407347598,0.21052631578947367,0.0,0.0008074283407347598
DHHHD,U,0.0016148566814695195,0.42105263157894735,0.0,0.0016148566814695195
DHHHD,H,0.0014129995962858296,0.3684210526315789,0.0,0.0014129995962858296
DHHHU,D,0.0010092854259184498,0.2777777777777778,0.0,0.0010092854259184498
DHHHU,U,0.0008074283407347598,0.2222222222222222,0.0,0.0008074283407347598
DHHHU,H,0.0018167137666532096,0.5,0.0,0.0018167137666532096
DHHHH,D,0.0008074283407347598,0.16,0.0,0.0008074283407347598
DHHHH,U,0.0030278562777553493,0.6,0.0,0.0030278562777553493
DHHHH,H,0.0012111425111021397,0.24,0.0,0.0012111425111021397
UDDDD,D,0.0010092854259184498,0.2,0.0,0.0010092854259184498
UDDDD,U,0.002825999192571659,0.56,0.0,0.002825999192571659
UDDDD,H,0.0012111425111021397,0.24,0.0,0.0012111425111021397
UDDDU,D,0.002825999192571659,0.4,0.0,0.002825999192571659
UDDDU,U,0.002825999192571659,0.4,0.0,0.002825999192571659
UDDDU,H,0.0014129995962858296,0.2,0.0,0.0014129995962858296
UDDDH,D,0.0006055712555510698,0.15789473684210525,0.0,0.0006055712555510698
UDDDH,U,0.0014129995962858296,0.3684210526315789,0.0,0.0014129995962858296
UDDDH,H,0.0018167137666532096,0.47368421052631576,0.0,0.0018167137666532096
UDDUD,D,0.003835284618490109,0.4418604651162791,0.0,0.003835284618490109
UDDUD,U,0.0030278562777553493,0.3488372093023256,0.0,0.0030278562777553493
UDDUD,H,0.0018167137666532096,0.20930232558139536,0.0,0.0018167137666532096
UDDUU,D,0.002825999192571659,0.4117647058823529,0.0,0.002825999192571659
UDDUU,U,0.0026241421073879695,0.38235294117647056,0.0,0.0026241421073879695
UDDUU,H,0.0014129995962858296,0.20588235294117646,0.0,0.0014129995962858296
UDDUH,D,0.0012111425111021397,0.2608695652173913,0.0,0.0012111425111021397
UDDUH,U,0.0024222850222042794,0.5217391304347826,0.0,0.0024222850222042794
UDDUH,H,0.0010092854259184498,0.21739130434782608,0.0,0.0010092854259184498
UDDHD,D,0.0012111425111021397,0.5454545454545454,0.0,0.0012111425111021397
UDDHD,U,0.00020185708518368994,0.09090909090909091,0.0,0.00020185708518368994
UDDHD,H,0.0008074283407347598,0.36363636363636365,0.0,0.0008074283407347598
UDDHU,D,0.0012111425111021397,0.3157894736842105,0.0,0.0012111425111021397
UDDHU,U,0.0012111425111021397,0.3157894736842105,0.0,0.0012111425111021397
UDDHU,H,0.0014129995962858296,0.3684210526315789,0.0,0.0014129995962858296
UDDHH,D,0.0008074283407347598,0.2857142857142857,0.0,0.0008074283407347598
UDDHH,U,0.0010092854259184498,0.35714285714285715,0.0,0.0010092854259184498
UDDHH,H,0.0010092854259184498,0.35714285714285715,0.0,0.0010092854259184498
UDUDD,D,0.0020185708518368995,0.3448275862068966,0.0,0.0020185708518368995
UDUDD,U,0.0026241421073879695,0.4482758620689655,0.0,0.0026241421073879695
UDUDD,H,0.0012111425111021397,0.20689655172413793,0.0,0.0012111425111021397
UDUDU,D,0.0024222850222042794,0.4,0.0,0.0024222850222042794
UDUDU,U,0.0024222850222042794,0.4,0.0,0.0024222850222042794
UDUDU,H,0.0012111425111021397,0.2,0.0,0.0012111425111021397
UDUDH,D,0.0006055712555510698,0.6,0.0,0.0006055712555510698
UDUDH,U,0.00020185708518368994,0.2,0.0,0.00020185708518368994
UDUDH,H,0.00020185708518368994,0.2,0.0,0.00020185708518368994
UDUUD,D,0.004037141703673799,0.6060606060606061,0.0,0.004037141703673799
UDUUD,U,0.0014129995962858296,0.21212121212121213,0.0,0.0014129995962858296
UDUUD,H,0.0012111425111021397,0.18181818181818182,0.0,0.0012111425111021397
UDUUU,D,0.0022204279370205892,0.39285714285714285,0.0,0.0022204279370205892
UDUUU,U,0.0022204279370205892,0.39285714285714285,0.0,0.0022204279370205892
UDUUU,H,0.0012111425111021397,0.21428571428571427,0.0,0.0012111425111021397
UDUUH,D,0.0014129995962858296,0.35,0.0,0.0014129995962858296
UDUUH,U,0.0012111425111021397,0.3,0.0,0.0012111425111021397
UDUUH,H,0.0014129995962858296,0.35,0.0,0.0014129995962858296
UDUHD,D,0.0012111425111021397,0.5,0.0,0.0012111425111021397
UDUHD,U,0.0008074283407347598,0.3333333333333333,0.0,0.0008074283407347598
