x,predicted_label,score_D,score_U,score_H
-0.2540708865343613,D,4.26610806451656e-07,1.4158088149521286e-07,2.590810818739586e-10
-0.2539256630045335,D,4.309696390516103e-07,1.431306346400705e-07,2.6287048353505035e-10
-0.25378043947470574,D,4.353730073749884e-07,1.4469735147916222e-07,2.667153101806489e-10
-0.253635215944878,D,4.398213664588788e-07,1.4628121769813462e-07,2.706163724740669e-10
-0.2534899924150502,D,4.443151759896479e-07,1.4788242101516127e-07,2.745744929356374e-10
-0.25334476888522245,D,4.48854900350433e-07,1.4950115120318992e-07,2.785905061161326e-10
-0.2531995453553947,D,4.534410086691373e-07,1.5113760011243618e-07,2.826652587727284e-10
-0.25305432182556686,D,4.5807397486690946e-07,1.5279196169311888e-07,2.867996100475396e-10
-0.2529090982957391,D,4.6275427770711024e-07,1.5446443201844677e-07,2.9099443164876145e-10
-0.25276387476591133,D,4.6748240084479765e-07,1.561552093078595e-07,2.952506080344716e-10
-0.25261865123608357,D,4.7225883287670067e-07,1.5786449395051793e-07,2.995690365991093e-10
-0.2524734277062558,D,4.770840673917109e-07,1.595924885290565e-07,3.0395062786268744e-10
-0.25232820417642804,D,4.819586030218898e-07,1.6133939784358994e-07,3.083963056627748e-10
-0.2521829806466003,D,4.868829434939966e-07,1.6310542893598816e-07,3.1290700734927685e-10
-0.25203775711677245,D,4.918575976815437e-07,1.6489079111441467e-07,3.1748368398207697e-10
-0.2518925335869447,D,4.968830796573763e-07,1.6669569597813062e-07,3.2212730053155657e-10
-0.2517473100571169,D,5.019599087468065e-07,1.685203574425791e-07,3.268388360820625e-10
-0.25160208652728916,D,5.070886095812718e-07,1.7036499176473252e-07,3.316192840383367e-10
-0.2514568629974614,D,5.122697121525519e-07,1.7222981756872574e-07,3.364696523349723e-10
-0.25131163946763363,D,5.175037518675371e-07,1.7411505587176695e-07,3.4139096364893075e-10
-0.25116641593780586,D,5.227912696035567e-07,1.7602093011033157e-07,3.463842556151731e-10
-0.2510211924079781,D,5.281328117642712e-07,1.7794766616664617e-07,3.514505810454333e-10
-0.25087596887815033,D,5.335289303361382e-07,1.7989549239545625e-07,3.5659100815020273e-10
-0.2507307453483225,D,5.389801829454547e-07,1.8186463965109338e-07,3.618066207639583e-10
-0.25058552181849475,D,5.444871329159718e-07,1.8385534131483303e-07,3.670985185736777e-10
-0.250440298288667,D,5.500503493271271e-07,1.858678333225576e-07,3.7246781735071164e-10
-0.2502950747588392,D,5.556704070728333e-07,1.879023541927193e-07,3.7791564918603306e-10
-0.25014985122901146,D,5.613478869208958e-07,1.8995914505460613e-07,3.83443162728935e-10
-0.2500046276991837,D,5.670833755730268e-07,1.9203844967692242e-07,3.8905152342921585e-10
-0.24985940416935593,D,5.728774657254739e-07,1.9414051449667918e-07,3.9474191378291516e-10
-0.24971418063952813,D,5.78730756130271e-07,1.9626558864840468e-07,4.0051553358162797e-10
-0.24956895710970037,D,5.846438516571025e-07,1.9841392399366465e-07,4.063736001654816e-10
-0.2494237335798726,D,5.906173633558235e-07,2.0058577515091911e-07,4.1231734867980414e-10
-0.2492785100500448,D,5.966519085195961e-07,2.027813995256994e-07,4.1834803233555027e-10
-0.24913328652021705,D,6.027481107486807e-07,2.0500105734110858e-07,4.244669226735295e-10
-0.24898806299038928,D,6.089066000148784e-07,2.0724501166867252e-07,4.3067530983251257e-10
-0.24884283946056152,D,6.15128012726631e-07,2.095135284595114e-07,4.3697450282124416e-10
-0.24869761593073375,D,6.214129917947866e-07,2.1180687657586306e-07,4.433658297944487e-10
-0.24855239240090596,D,6.277621866990374e-07,2.1412532782294795e-07,4.498506383328556e-10
-0.2484071688710782,D,6.341762535550343e-07,2.1646915698118302e-07,4.564302957273374e-10
-0.24826194534125043,D,6.406558551821898e-07,2.1883864183874826e-07,4.631061892671942e-10
-0.24811672181142264,D,6.472016611721753e-07,2.212340632245103e-07,4.698797265326585e-10
-0.24797149828159487,D,6.538143479581055e-07,2.2365570504130523e-07,4.76752335691671e-10
-0.2478262747517671,D,6.604945988844521e-07,2.2610385429958724e-07,4.837254658010121e-10
-0.24768105122193934,D,6.672431042776583e-07,2.2857880115144331e-07,4.908005871118207e-10
-0.24753582769211158,D,6.74060561517466e-07,2.3108083892498552e-07,4.979791913795976e-10
-0.24739060416228378,D,6.809476751089925e-07,2.3361026415911158e-07,5.052627921787274e-10
-0.24724538063245602,D,6.879051567555212e-07,2.3616737663864946e-07,5.126529252216076e-10
-0.24710015710262825,D,6.949337254320614e-07,2.3875247942989504e-07,5.201511486824527e-10
-0.24695493357280046,D,7.020341074596375e-07,2.4136587891652313e-07,5.277590435258316e-10
-0.2468097100429727,D,7.092070365803483e-07,2.4400788483590354e-07,5.35478213839988e-10
-0.24666448651314493,D,7.164532540331887e-07,2.466788103158102e-07,5.433102871750742e-10
-0.24651926298331717,D,7.237735086306508e-07,2.493789719115327e-07,5.512569148863005e-10
-0.2463740394534894,D,7.311685568361024e-07,2.52108689643394e-07,5.593197724821259e-10
-0.2462288159236616,D,7.386391628419608e-07,2.5486828703467884e-07,5.675005599775207e-10
-0.24608359239383384,D,7.46186098648661e-07,2.576580911499777e-07,5.758010022524069e-10
-0.24593836886400608,D,7.538101441444347e-07,2.6047843263394883e-07,5.8422284941535e-10
-0.2457931453341783,D,7.615120871859042e-07,2.633296457505105e-07,5.92767877172554e-10
-0.24564792180435052,D,7.692927236794878e-07,2.662120684224489e-07,6.01437887202262e-10
-0.24550269827452276,D,7.771528576636632e-07,2.69126042271476e-07,6.102347075346324e-10
-0.245357474744695,D,7.850933013920452e-07,2.7207191265871775e-07,6.191601929371682e-10
-0.24521225121486723,D,7.931148754173248e-07,2.750500287256409e-07,6.28216225305786e-10
-0.24506702768503943,D,8.012184086760642e-07,2.78060743435437e-07,6.374047140616147e-10
-0.24492180415521167,D,8.094047385743571e-07,2.811044136148539e-07,6.467275965535653e-10
-0.2447765806253839,D,8.17674711074365e-07,2.8418139999648666e-07,6.56186838466835e-10
-0.2446313570955561,D,8.260291807817374e-07,2.872920672615311e-07,6.657844342373501e-10
-0.24448613356572835,D,8.344690110339258e-07,2.904367840830057e-07,6.755224074722863e-10
-0.24434091003590058,D,8.429950739893983e-07,2.9361592316944554e-07,6.854028113767368e-10
-0.24419568650607282,D,8.516082507177679e-07,2.968298613090753e-07,6.954277291866199e-10
-0.24405046297624505,D,8.603094312908411e-07,3.0007897941446924e-07,7.055992746079176e-10
-0.24390523944641726,D,8.690995148745977e-07,3.033636625676916e-07,7.159195922623526e-10
-0.2437600159165895,D,8.779794098220988e-07,3.06684300065935e-07,7.263908581395467e-10
-0.24361479238676173,D,8.869500337673679e-07,3.1004128546766885e-07,7.370152800558422e-10
-0.24346956885693397,D,8.96012313720219e-07,3.134350166392731e-07,7.477950981197955e-10
-0.24332434532710617,D,9.051671861620395e-07,3.168658958021982e-07,7.587325852045073e-10
-0.2431791217972784,D,9.144155971425639e-07,3.203343295806348e-07,7.698300474268229e-10
-0.24303389826745064,D,9.237585023776527e-07,3.238407290497064e-07,7.810898246335895e-10
-0.24288867473762288,D,9.331968673480427e-07,3.273855097841895e-07,7.92514290894988e-10
-0.2427434512077951,D,9.427316673991206e-07,3.3096909190776605e-07,8.041058550051071e-10
-0.24259822767796732,D,9.523638878417123e-07,3.3459190014282176e-07,8.158669609898129e-10
-0.24245300414813956,D,9.62094524053906e-07,3.382543638607707e-07,8.278000886220583e-10
-0.2423077806183118,D,9.719245815839094e-07,3.4195691713296084e-07,8.399077539447472e-10
-0.242162557088484,D,9.81855076253968e-07,3.456999987821075e-07,8.521925098012182e-10
