lambda,rank,antecedent,consequent,support,confidence,usefulness
0.9,1,HHHDH,H,0.004238998788857489,0.7241379310344828,0.4330773756601287
0.9,2,UHUDD,U,0.0030278562777553493,0.75,0.4321839781278114
0.9,3,DHHUD,H,0.0014129995962858296,0.7777777777777778,0.41379399254423493
0.9,4,HDDHD,U,0.0016148566814695195,0.7272727272727273,0.39476711712694385
0.9,5,HHHHH,H,0.007468712151796528,0.5967741935483871,0.3850823409743162
0.9,6,HUDUD,D,0.0014129995962858296,0.7,0.376359116006412
0.9,7,UDUUD,D,0.004037141703673799,0.6060606060606061,0.36717393980994883
0.9,8,UHHUU,H,0.0030278562777553493,0.625,0.36677991142175187
0.9,9,HHUHU,H,0.0030278562777553493,0.625,0.36677991142175187
0.9,10,HHUHD,H,0.0026241421073879695,0.6190476190476191,0.35846799506780186
0.95,1,UHUDD,U,0.0030278562777553493,0.75,0.5693311721624403
0.95,2,DHHUD,H,0.0014129995962858296,0.7777777777777778,0.5673092384042843
0.95,3,HHHDH,H,0.004238998788857489,0.7241379310344828,0.5600069238753829
0.95,4,HDDHD,U,0.0016148566814695195,0.7272727272727273,0.5358202664238302
0.95,5,HUDUD,D,0.0014129995962858296,0.7,0.5132751515556624
0.95,6,HHHHH,H,0.007468712151796528,0.5967741935483871,0.4793821059287387
0.95,7,UHHUU,H,0.0030278562777553493,0.625,0.4787874733517939
0.95,8,HHUHU,H,0.0030278562777553493,0.625,0.4787874733517939
0.95,9,UDUUD,D,0.004037141703673799,0.6060606060606061,0.47173049561256686
0.95,10,HHUHD,H,0.0026241421073879695,0.6190476190476191,0.47107192534845066
1.0,1,DHHUD,H,0.0014129995962858296,0.7777777777777778,0.7777777777777778
1.0,2,UHUDD,U,0.0030278562777553493,0.75,0.75
1.0,3,HDDHD,U,0.0016148566814695195,0.7272727272727273,0.7272727272727273
1.0,4,HHHDH,H,0.004238998788857489,0.7241379310344828,0.7241379310344828
1.0,5,HUDUD,D,0.0014129995962858296,0.7,0.7
1.0,6,HUUUD,U,0.0014129995962858296,0.6363636363636364,0.6363636363636364
1.0,7,UHHUU,H,0.0030278562777553493,0.625,0.625
1.0,8,HHUHU,H,0.0030278562777553493,0.625,0.625
1.0,9,HHUHD,H,0.0026241421073879695,0.6190476190476191,0.6190476190476191
1.0,10,UHDHH,H,0.0022204279370205892,0.6111111111111112,0.6111111111111112
